qid,nl_question,query_class,difficulty,gold_hash,pred_sql,pred_hash,exec_ok,den_acc,join_hall,llm_error,latency_s,exec_error
Q003,Count all events in the event table.,count_filter,easy,823020149d4c3052494372fcb281a63f087cb5ce4c5982a690f332de7126656a,SELECT COUNT(*) FROM events,823020149d4c3052494372fcb281a63f087cb5ce4c5982a690f332de7126656a,1,1,0,0,11.214,
Q004,How many billing_created events are there?,count_filter,easy,cb0183f6087206caadadf3285e6d9671fea21911dbfb7c7cfc00c76603b7d108,SELECT COUNT(*) FROM events WHERE event_type = 'billing_created',cb0183f6087206caadadf3285e6d9671fea21911dbfb7c7cfc00c76603b7d108,1,1,0,0,0.958,
Q005,Count invoice creation events.,count_filter,easy,cb0183f6087206caadadf3285e6d9671fea21911dbfb7c7cfc00c76603b7d108,"SELECT COUNT(*) AS invoice_creation_count
FROM events
WHERE event_type = 'invoice_creation'",d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,0,0,0,1.017,
Q007,What are the top 5 event types by frequency?,group_topk,easy,cee0c389750a7041b444b3f2a8b10cd5e6fda85ab24fb09e2720eee78aa5e6eb,"SELECT event_type, COUNT(*) AS frequency
FROM events
GROUP BY event_type
ORDER BY frequency DESC
LIMIT 5",cee0c389750a7041b444b3f2a8b10cd5e6fda85ab24fb09e2720eee78aa5e6eb,1,1,0,0,1.013,
Q008,Show the five most common event types.,group_topk,easy,cee0c389750a7041b444b3f2a8b10cd5e6fda85ab24fb09e2720eee78aa5e6eb,"SELECT event_type, COUNT(*) AS frequency
FROM events
GROUP BY event_type
ORDER BY frequency DESC
LIMIT 5",cee0c389750a7041b444b3f2a8b10cd5e6fda85ab24fb09e2720eee78aa5e6eb,1,1,0,0,1.335,
Q010,How many objects do we have per object type?,group_topk,easy,a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,"SELECT object_type, COUNT(*) AS object_count
FROM objects
GROUP BY object_type",a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,1,1,0,0,8.802,
Q011,Show object counts by object type.,group_topk,easy,a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,"SELECT object_type, COUNT(*) AS object_count
FROM objects
GROUP BY object_type",a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,1,1,0,0,1.076,
Q015,Break down the relation graph by edge type.,path_relation,medium,8915d1fcf6bf5237c66c0b068fe4510a70a9e19d50e112a005623e183b8169b8,"SELECT 
  relation_type,
  COUNT(*) AS edge_count
FROM relations
GROUP BY relation_type
ORDER BY edge_count DESC",8915d1fcf6bf5237c66c0b068fe4510a70a9e19d50e112a005623e183b8169b8,1,1,0,0,1.227,
Q016,How many billing documents are linked to AR items?,path_relation,medium,e7879eac24fc5841fdbd3067f55421f04b4bf6972e44c6fe25fbebfd8cfe3e1c,"SELECT COUNT(DISTINCT r.to_object_id)
FROM relations r
WHERE r.to_object_type = 'billing_document'
  AND r.from_object_type = 'ar_item'",d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,0,0,0,1.6,
Q017,Count billing_to_ar relations.,path_relation,medium,e7879eac24fc5841fdbd3067f55421f04b4bf6972e44c6fe25fbebfd8cfe3e1c,SELECT COUNT(*) FROM relations WHERE relation_type = 'billing_to_ar',e7879eac24fc5841fdbd3067f55421f04b4bf6972e44c6fe25fbebfd8cfe3e1c,1,1,0,0,1.21,
Q019,Show yearly billing_created event counts.,temporal_trend,medium,8b9295dc90cfe762aca0d5c4707d45afdc0184cce0e33f1487d46151fe39244c,"SELECT 
  EXTRACT(YEAR FROM timestamp) AS year,
  COUNT(*) AS billing_created_event_count
FROM events
WHERE event_type = 'billing_created'
GROUP BY year
ORDER BY year",8b9295dc90cfe762aca0d5c4707d45afdc0184cce0e33f1487d46151fe39244c,1,1,0,0,1.296,
